username,role,firstname,lastname,email,phone1,is_admin,is_deleted,access_level,locale,reputation
system,1,System,User,webmaster@nowhere.com,000-000-0000,TRUE,FALSE,99,en_US,0
herve,1,Herve,L.,herve@emc.com,800-555-1234,FALSE,FALSE,99,fr_FR,20
mark,1,Mark,A.,admin3@emc.com,800-555-1001,FALSE,FALSE,10,en_US,20
radjesh,1,Radjesh,Vashisht,radjesh.vashisht@emc.com,999-555-1247,FALSE,FALSE,99,en_US,20
francisco,3,Francisco,Murretti,fmurretti@acme.com,+31 1-22-33-44-55,FALSE,FALSE,20,it_IT,1
emily,3,Emily,Mortimer,emily.mortimer@yapyap.com,731-111-3333,FALSE,FALSE,50,en_US,1
charlie,3,Charlie,Hawk,charlie.hawk@acme.com,234-567-1031,FALSE,FALSE,10,en_US,1
wendi,2,Wendi,Kempfer,wendi.kempfer@acme.com,234-567-1003,FALSE,FALSE,10,en_US,1
terry,3,Terry,Wilson,terry.wilson@acme.com,234-567-1015,FALSE,FALSE,10,en_US,1
bob,2,Bob,Miller,bob.miller@proconsulting.com,611-777-2211,FALSE,FALSE,10,en_US,1
sameer,1,Sameer,Gupta,sameer.gupta@emc.com,800-555-1253,FALSE,FALSE,10,en_US,1
markz,3,Mark,Zuckerberg,markz@facebook.com,000-000-0000,TRUE,TRUE,50,en_US,1
